scienceExperiment\5.png → 5.webp | Saved 2459273 bytes (94.5%)
scienceExperiment\6.png → 6.webp | Saved 2440857 bytes (94.3%)
scienceExperiment\7.png → 7.webp | Saved 2440857 bytes (94.3%)
scienceExperiment\8.png → 8.webp | Saved 2440857 bytes (94.3%)
scienceExperiment\9.png → 9.webp | Saved 2440857 bytes (94.3%)
shoeMiss\1.png → 1.webp | Saved 1766388 bytes (96.0%)
shoeMiss\2.png → 2.webp | Saved 1770159 bytes (96.0%)
shoeMiss\3.png → 3.webp | Saved 1774748 bytes (95.9%)
shoeMiss\4.png → 4.webp | Saved 1760426 bytes (96.0%)
surviveMuscleMan\1.png → 1.webp | Saved 2316967 bytes (93.0%)
tableTopClub\1.png → 1.webp | Saved 2874494 bytes (89.9%)
tableTopClub\2.png → 2.webp | Saved 2874494 bytes (89.9%)
tableTopClub\3.png → 3.webp | Saved 2874494 bytes (89.9%)
tableTopClub\4.png → 4.webp | Saved 2879383 bytes (89.9%)
tableTopClub\5.png → 5.webp | Saved 2879383 bytes (89.9%)
toiletPaper\1.png → 1.webp | Saved 1767812 bytes (96.1%)
toiletPaper\2.png → 2.webp | Saved 1772959 bytes (96.1%)
toiletPaper\3.png → 3.webp | Saved 1770480 bytes (96.1%)
toiletPaper\4.png → 4.webp | Saved 1770480 bytes (96.1%)
trialAndError\1.png → 1.webp | Saved 2459533 bytes (95.2%)
trialAndError\10.png → 10.webp | Saved 2459533 bytes (95.2%)
trialAndError\11.png → 11.webp | Saved 2447217 bytes (95.1%)
trialAndError\12.png → 12.webp | Saved 2451518 bytes (95.1%)
trialAndError\13.png → 13.webp | Saved 2451518 bytes (95.1%)
trialAndError\14.png → 14.webp | Saved 2449352 bytes (95.4%)
trialAndError\15.png → 15.webp | Saved 2447217 bytes (95.1%)
trialAndError\16.png → 16.webp | Saved 2447217 bytes (95.1%)
trialAndError\17.png → 17.webp | Saved 2447217 bytes (95.1%)
trialAndError\18.png → 18.webp | Saved 2447217 bytes (95.1%)
trialAndError\19.png → 19.webp | Saved 2459533 bytes (95.2%)
trialAndError\2.png → 2.webp | Saved 2451518 bytes (95.1%)
trialAndError\20.png → 20.webp | Saved 2459533 bytes (95.2%)
trialAndError\21.png → 21.webp | Saved 2449018 bytes (95.1%)
trialAndError\22.png → 22.webp | Saved 2449018 bytes (95.1%)
trialAndError\23.png → 23.webp | Saved 2449018 bytes (95.1%)
trialAndError\24.png → 24.webp | Saved 988715 bytes (89.4%)
trialAndError\25.png → 25.webp | Saved 988715 bytes (89.4%)
trialAndError\26.png → 26.webp | Saved 2068864 bytes (89.6%)
trialAndError\27.png → 27.webp | Saved 1798786 bytes (93.2%)
trialAndError\28.png → 28.webp | Saved 969314 bytes (91.6%)
